Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,LPG Station
"Karan Filling Station , Chandigarh",4.2,-19,30.710894,76.743042,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Amalia Pump CNG Filling Centre,4,"-2,718",30.709726,76.748739,Fuel Station,LPG Station
Indane - Punia Gas Service,3.1,-70,30.709731,76.772789,Fuel Station,LPG Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
IndianOil,4.1,-359,30.718891,76.768166,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
Powerbank Charging Station,N/A,N/A,30.718145,76.776171,Fuel Station,Electrical Charging Station
Charge Zone Charging Station,N/A,N/A,30.72684,76.767139,Fuel Station,Electrical Charging Station
Bharat Petroleum,4.4,"-3,067",30.723274,76.771616,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
IndianOil,4.1,-359,30.718891,76.768166,Fuel Station,Petrol Pump
IndianOil,4.1,-617,30.720192,76.770317,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
IndianOil,4,-414,30.724312,76.770866,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,LPG Station
Charge Zone Charging Station,N/A,N/A,30.72684,76.767139,Fuel Station,Electrical Charging Station
Bharat Petroleum,4.4,"-3,067",30.723274,76.771616,Fuel Station,Petrol Pump
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,Petrol Pump
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,Petrol Pump
IndianOil,4,-414,30.724312,76.770866,Fuel Station,Petrol Pump
HP PETROL PUMP SUD TRADERS,4.1,-858,30.730425,76.773952,Fuel Station,Petrol Pump
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,LPG Station
Charge Zone Charging Station,N/A,N/A,30.742719,76.754866,Fuel Station,Electrical Charging Station
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,Petrol Pump
HP PETROL PUMP SUD TRADERS,4.1,-858,30.730425,76.773952,Fuel Station,Petrol Pump
Pollution centre,4.2,-847,30.740018,76.777654,Fuel Station,Petrol Pump
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,Petrol Pump
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,Petrol Pump
IndianOil,3.6,-140,30.736788,76.776088,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,LPG Station
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,LPG Station
Car A/C Gas Filling & Repair,2.3,-4,30.686733,76.759073,Fuel Station,Petrol Pump
Harpal Motors,4.8,-4,30.68676,76.760677,Fuel Station,LPG Station
Tata Power Charging Station,4,-13,30.699073,76.785557,Fuel Station,Electrical Charging Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
CLUB HP PETROL PUMP VISHAL SERVICE STATION,4,"-1,633",30.705716,76.78751,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
Bharat Petroleum,4,-942,30.69622,76.787493,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Harpal Motors,4.8,-4,30.68676,76.760677,Fuel Station,LPG Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
Dream party plan decoration,5,-25,30.707189,76.75765,Fuel Station,Petrol Pump
Indane - Punia Gas Service,3.1,-70,30.709731,76.772789,Fuel Station,Petrol Pump
Indane - Punia Gas Service,3.1,-70,30.709731,76.772789,Fuel Station,LPG Station
Powerbank Charging Station,N/A,N/A,30.718145,76.776171,Fuel Station,Electrical Charging Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
IndianOil,4.1,-359,30.718891,76.768166,Fuel Station,Petrol Pump
Hindustan Petroleum,4,-402,30.718033,76.776222,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
HP PETROL PUMP - ROCKROSE AUTO CENTRE,4.1,-210,N/A,N/A,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
IndianOil,4,-414,30.724312,76.770866,Fuel Station,LPG Station
Hindustan Petroleum,4,-402,30.718033,76.776222,Fuel Station,LPG Station
IndianOil,4.1,-617,30.720192,76.770317,Fuel Station,LPG Station
Powerbank Charging Station,N/A,N/A,30.718145,76.776171,Fuel Station,Electrical Charging Station
Charge Zone Charging Station,N/A,N/A,30.72684,76.767139,Fuel Station,Electrical Charging Station
Bharat Petroleum,4.4,"-3,067",30.723274,76.771616,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
IndianOil,4.1,-359,30.718891,76.768166,Fuel Station,Petrol Pump
Hindustan Petroleum,4,-402,30.718033,76.776222,Fuel Station,Petrol Pump
IndianOil,4.1,-617,30.720192,76.770317,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
IndianOil,4,-414,30.724312,76.770866,Fuel Station,LPG Station
Hindustan Petroleum,4,-402,30.718033,76.776222,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
Charge Zone Charging Station,N/A,N/A,30.72684,76.767139,Fuel Station,Electrical Charging Station
Bharat Petroleum,4.4,"-3,067",30.723274,76.771616,Fuel Station,Petrol Pump
HP PETROL PUMP SUD TRADERS,4.1,-858,30.730425,76.773952,Fuel Station,Petrol Pump
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,Petrol Pump
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,Petrol Pump
IndianOil,3.6,-140,30.736788,76.776088,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
IndianOil,3.6,-140,30.736788,76.776088,Fuel Station,LPG Station
IndianOil,4,-414,30.724312,76.770866,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
Kinetic Green Chandigarh Best Electric Scooters PURISONS,5,-34,30.745193,76.761639,Fuel Station,Electrical Charging Station
IndianOil,3.6,-140,30.736788,76.776088,Fuel Station,Petrol Pump
IndianOil,3.6,-140,30.736788,76.776088,Fuel Station,LPG Station
Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
Burger King,4.6,-150,30.678315,76.724094,Restaurant,Fast Food
"Burgrill, Sector 67 Mohali",4.2,-135,30.675855,76.73977,Restaurant,Fast Food
Scoobyard - Best fast Food Restaurant in Chandigarh,3.3,-4,30.694726,76.76969,Restaurant,Fast Food
Hungry Point,4,-4,30.680319,76.724763,Restaurant,Fast Food
"Sodhis Zaika, Best Fast Food, Street Food in Chandigarh",4.1,-721,30.700667,76.765781,Restaurant,Fast Food
Mohali Rocks Restaurant & Party Hall,5,-184,30.682598,76.743445,Restaurant,Fine Dining
BBQ TONIGHT,5,-1,30.688325,76.7377,Restaurant,Fine Dining
The Chef Dude,4.3,-8,N/A,N/A,Restaurant,Fine Dining
Sagar Ratna,3.8,-916,30.687529,76.737859,Restaurant,Fine Dining
Kake Di Hatti Mohali,4.5,-386,30.685511,76.739446,Restaurant,Fine Dining
KAFE ALL NIGHT (THE BABBU MAAN STORE),4.6,-58,30.686082,76.739396,Restaurant,Cafe
Zoca Cafe Mohali,4.6,-153,30.687961,76.737506,Restaurant,Cafe
Waycup Cafe | Mohali,4.5,-583,30.685425,76.721472,Restaurant,Cafe
Cafe Plus Hospitality Services,5,-42,30.692315,76.733451,Restaurant,Cafe
Anytime Cafe,4.5,-109,30.687912,76.737505,Restaurant,Cafe
B N BAKERS,4.1,"-1,267",30.686191,76.738758,Restaurant,Bakery
Best Baker & Cafe,4.9,-33,30.693888,76.732593,Restaurant,Bakery
Punjaban Bakery,5,-26,30.68506,76.748632,Restaurant,Bakery
Anand Bakers,4.4,-25,30.685269,76.739668,Restaurant,Bakery
Winni Cakes & More,4.6,-157,30.6826,76.743512,Restaurant,Bakery
90ML is the Solution,4.4,-229,30.687582,76.737815,Restaurant,Bar
Barrel bells,4.1,-7,30.687915,76.737543,Restaurant,Bar
Robins 69 Bar,4.2,-141,30.695493,76.719907,Restaurant,Bar
Blue Nite Beer Bar & Restaurant,4.1,-591,30.695946,76.768323,Restaurant,Bar
Nineteenth May Restaurant | Cafe | Bakery | Bar | Catering Services,4.5,-541,N/A,N/A,Restaurant,Bar
90ML is the Solution,4.4,-229,30.687582,76.737815,Restaurant,Pub
Beans n Brooks Cafe,4.3,-758,30.684244,76.741892,Restaurant,Pub
Block 20,N/A,N/A,30.693547,76.739082,Restaurant,Pub
Chinu Punjabi Dhaba,4,-8,30.679384,76.746908,Restaurant,Food Truck
Mohali Rocks Restaurant & Party Hall,5,-184,30.682598,76.743445,Restaurant,Buffet
Buffet Hut Mohali,4,"-2,863",30.695763,76.71859,Restaurant,Buffet
Chinese Wok,3.2,-39,30.687806,76.737625,Restaurant,Buffet
Brar Buffet and Dhaba,4.2,-714,30.702836,76.726915,Restaurant,Buffet
Katani Buffet,3.5,-98,30.711587,76.719686,Restaurant,Buffet
Pizza Hood,4.6,-324,30.687652,76.729717,Restaurant,Pizzeria
Alvin Pizza Cafe,4.2,-116,30.693368,76.733225,Restaurant,Pizzeria
Baskin Robbins,4.2,-243,30.688184,76.737811,Restaurant,Ice Cream Parlor
Giani's ice cream mohali,4,-13,30.688264,76.737731,Restaurant,Ice Cream Parlor
Ice Pice,4.3,-58,30.685314,76.740247,Restaurant,Ice Cream Parlor
DREAM WAFFLE POINT,4.4,-18,30.688629,76.737525,Restaurant,Ice Cream Parlor
HF Super Ice Cream Parlour,4.5,-194,30.702169,76.727451,Restaurant,Ice Cream Parlor
Arora's Foods & Snacks,3.5,-155,30.697442,76.755351,Restaurant,Fast Food
Food Paradise,4.5,-8,30.697455,76.755338,Restaurant,Fast Food
Fast food restaurant,N/A,N/A,30.694403,76.737912,Restaurant,Fast Food
Hunger pangs,5,-1,30.693943,76.756802,Restaurant,Fast Food
Laajawab,3.5,-98,30.697514,76.755337,Restaurant,Fast Food
Ocean View Restaurant- A Venture of J.P. Hospitality and Services,4.5,-295,30.701787,76.727769,Restaurant,Fine Dining
Royalty a Family Restaurant veg. & non veg,4.4,-31,30.694868,76.73289,Restaurant,Fine Dining
BBQ TONIGHT,5,-1,30.688325,76.7377,Restaurant,Fine Dining
Miyaon Restaurant,3.2,-544,30.686175,76.727219,Restaurant,Fine Dining
The Chef Dude,4.3,-8,N/A,N/A,Restaurant,Fine Dining
Cup & Kitaab,4.3,"-1,439",30.686425,76.740848,Restaurant,Cafe
KAFE ALL NIGHT (THE BABBU MAAN STORE),4.6,-58,30.686082,76.739396,Restaurant,Cafe
The Cafe Next Door,3.8,-4,30.695187,76.730856,Restaurant,Cafe
Zoca Cafe Mohali,4.6,-153,30.687961,76.737506,Restaurant,Cafe
Cafe Plus Hospitality Services,5,-42,30.692315,76.733451,Restaurant,Cafe
Mom bakers,3.8,-715,30.702285,76.727319,Restaurant,Bakery
Bakers Delight,4.4,-81,30.703051,76.727153,Restaurant,Bakery
The Baker Smith - Best Eggless Bakery | Birthday Cake | Wedding Cake | Anniversary Cake | Customized Cakes | Best Cake Shop,4.9,-181,30.696337,76.748348,Restaurant,Bakery
Best Baker & Cafe,4.9,-33,30.693888,76.732593,Restaurant,Bakery
Flavours by Shivani,4.9,-475,30.695447,76.750431,Restaurant,Bakery
JATT MEHKMA,5,-19,30.693647,76.743613,Restaurant,Bar
Parking,N/A,N/A,30.69339,76.743866,Restaurant,Bar
Vita Milk Bar,3.9,-34,30.693759,76.74856,Restaurant,Bar
Vita Milk Bar,4.4,-91,30.696768,76.745337,Restaurant,Bar
Block 20,N/A,N/A,30.693547,76.739082,Restaurant,Pub
Chinese Wok,3.2,-39,30.687806,76.737625,Restaurant,Buffet
BBQ TONIGHT,5,-1,30.688325,76.7377,Restaurant,Buffet
Ocean View Restaurant- A Venture of J.P. Hospitality and Services,4.5,-295,30.701787,76.727769,Restaurant,Buffet
Royalty a Family Restaurant veg. & non veg,4.4,-31,30.694868,76.73289,Restaurant,Buffet
PindStop Restaurant,4.4,-7,30.695201,76.731829,Restaurant,Buffet
Pizza Hood,4.6,-324,30.687652,76.729717,Restaurant,Pizzeria
Captain Sam's Pizza Phase 7,4.2,-84,30.701929,76.72766,Restaurant,Pizzeria
Dominic's Pizza 46,4.3,-81,30.70051,76.765795,Restaurant,Pizzeria
Pizza Freaker'z,4.1,-137,30.701314,76.76524,Restaurant,Pizzeria
Alvin Pizza Cafe,4.2,-116,30.693368,76.733225,Restaurant,Pizzeria
Sundae Faulda,N/A,N/A,30.694763,76.740523,Restaurant,Ice Cream Parlor
Sarabjeet singh,5,-1,30.700615,76.755462,Restaurant,Ice Cream Parlor
my Business,N/A,N/A,30.693197,76.74028,Restaurant,Ice Cream Parlor
Vita Milk Bar,4.4,-91,30.696768,76.745337,Restaurant,Ice Cream Parlor
Singh Quality Foods Departmental Store,3.7,-3,30.694188,76.756943,Restaurant,Ice Cream Parlor
Burger King,4.5,"-1,560",30.709629,76.721275,Restaurant,Fast Food
Burgrill,4.2,-481,30.710211,76.721808,Restaurant,Fast Food
Burger Point 3B2,3.8,-769,30.712196,76.71926,Restaurant,Fast Food
Scoobyard - Best fast Food Restaurant in Chandigarh,3.3,-4,30.694726,76.76969,Restaurant,Fast Food
New Charlie's Food,3.9,-429,30.703924,76.710175,Restaurant,Fast Food
Raj trader,4,-391,30.707638,76.755443,Restaurant,Fine Dining
The Cafe Next Door,3.8,-4,30.695187,76.730856,Restaurant,Cafe
WoodBlazed cafe,4.9,-16,30.714516,76.729705,Restaurant,Cafe
Best Baker & Cafe,4.9,-33,30.693888,76.732593,Restaurant,Cafe
Alvin Pizza Cafe,4.2,-116,30.693368,76.733225,Restaurant,Cafe
The Cafe Estate,5,-2,30.698887,76.755258,Restaurant,Cafe
Bakers Delight,4.4,-81,30.703051,76.727153,Restaurant,Bakery
Mom bakers,3.8,-715,30.702285,76.727319,Restaurant,Bakery
Rohit Bakery,3.8,-112,30.704897,76.757732,Restaurant,Bakery
Naina's Bakery Home Bakery in Chandigarh,N/A,N/A,30.73228,76.770713,Restaurant,Bakery
Bansal Namkeen,3.9,-262,30.704896,76.725449,Restaurant,Bakery
Drunker's heaven,4.4,-14,30.707475,76.757704,Restaurant,Bar
Beer Shop,3.9,-28,30.70652,76.757594,Restaurant,Bar
Don,4.7,-3,30.70668,76.757642,Restaurant,Bar
DOABA'S JUICE BAR & EATING JUNCTION,4,-33,30.710731,76.753713,Restaurant,Bar
